chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,lat,lon,snapshot_date
a0M6g00000W35I4,Space Coast Professionals,Professional Zone,Region 3,Professional Chapter,Chapter,Palm Bay,Florida,United States,27.73400681745341,-81.86329530593406,2026-06-19
a0M6g00000W35ZP,Club Esteem NSBE Jr.,Primary Zone,Region 3,NSBE Jr. Chapter,Chapter,Melbourne,Florida,United States,27.581942654098306,-81.5145730038296,2026-06-19
a0M6g00000W35ZV,Florida International University NSBE Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Miami,Florida,United States,27.987877134396737,-81.96308834410212,2026-06-19
a0MUJ000002aBDV,Brevard County (FL) Links NSBE Jr Chapter,,Region 3,NSBE Jr. Chapter,Non-Member,Rockledge,Florida,United States,27.462870199868625,-81.62067943537049,2026-06-19
a0MUJ0000047Rlx,"Gifford Youth Achievement Center, Inc. NSBE Jr Chapter",,Region 3,NSBE Jr. Chapter,Non-Member,Vero Beach,Florida,United States,27.51860027093489,-81.45951806668057,2026-06-19
a0MUJ000006H7pd,The Sphinx Academy,,Region 3,NSBE Jr. Chapter,Non-Member,Melbourne,Florida,United States,27.633513271746853,-81.93607264692021,2026-06-19
a0MUJ000006nZUD,The Links Woodson Wolves NSBE Jr Chapter,,Region 3,NSBE Jr. Chapter,Non-Member,Land O' Lakes,Florida,United States,28.060958330741215,-81.92091079408532,2026-06-19
a0MUJ000006xoTZ,South Florida NSBE Jr. Chapter,,Region 3,NSBE Jr. Chapter,Non-Member,North Lauderdale,Florida,United States,27.615583057636556,-81.92925362336557,2026-06-19
a0MUJ0000077CtF,The Winter Park Kappa League NSBE Jr. Chapter,,Region 3,NSBE Jr. Chapter,Non-Member,Winter Park,Florida,United States,27.49712204456575,-82.0219793885645,2026-06-19
a0MUJ0000077EyH,NGLA - Florida East Coast NSBE Jr,,Region 3,NSBE Jr. Chapter,Non-Member,Sebastian,Florida,United States,27.455055786414984,-81.9145339703449,2026-06-19
a0MUJ00000A6Msv,Bamn Robotics NSBE Jr Chapter,,Region 3,NSBE Jr. Chapter,Non-Member,Miami,Florida,United States,27.453646352839023,-81.62298232872233,2026-06-19
a0M6g00000BqR1h,Atlanta University Center,Primary Zone,Region 3,Collegiate Chapter,Chapter,ATLANTA,Georgia,United States,33.167119168759655,-83.71753268021757,2026-06-19
a0M6g00000BqR1l,Georgia Tech Society of Black Engineers Chapter,,Region 3,Collegiate Chapter,Non-Member,Atlanta,Georgia,United States,32.91321276786643,-83.63990563408444,2026-06-19
a0M6g00000BqR29,Kennesaw Society of Black Engineers (KSU),Primary Zone,Region 3,Collegiate Chapter,Chapter,MARIETTA,Georgia,United States,33.30312245956423,-83.39728186122446,2026-06-19
a0M6g00000BqR2E,Georgia Southern University,Primary Zone,Region 3,Collegiate Chapter,Chapter,STATESBORO,Georgia,United States,32.721051543408954,-83.86602511328243,2026-06-19
a0M6g00000BqR2F,The Savannah State University Chapter of NSBE,Primary Zone,Region 3,Collegiate Chapter,Chapter,Savannah,Georgia,United States,32.856340409773075,-83.81850269691745,2026-06-19
a0M6g00000BqR2J,Mercer University NSBE Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Macon,Georgia,United States,33.09048185621994,-83.70169030200776,2026-06-19
a0M6g00000BqR2R,University of Georgia NSBE Chapter,,Region 3,Collegiate Chapter,Institution,Athens,Georgia,United States,32.72509688394931,-83.73154410307829,2026-06-19
a0M6g00000BqRfk,Arabia Mountain High School NSBE Jr.,Primary Zone,Region 3,NSBE Jr. Chapter,Chapter,Lithonia,Georgia,United States,33.057246064102344,-83.9219036679674,2026-06-19
a0M6g00000W35Hl,NSBE Atlanta Professionals Chapter,Professional Zone,Region 3,Professional Chapter,Chapter,Atlanta,Georgia,United States,33.27403998765199,-83.95670069347443,2026-06-19
a0M6g00000W35I5,CSRA Augusta Jr. Chapter - A LINKS NSBE Jr. Chapter,Primary Zone,Region 3,NSBE Jr. Chapter,Chapter,Augusta,Georgia,United States,33.338008308312645,-83.92369480089408,2026-06-19
a0M6g00000W35TX,Chamblee High School NSBE Jr Chapter,Primary Zone,Region 3,NSBE Jr. Chapter,Chapter,CHAMBLEE,Georgia,United States,33.28112146611843,-83.36121679925067,2026-06-19
